results_code,area_code,area_name,statprov_code,collection_code,latitude,longitude
AWSGS,MB,Manitoba,NULL,NULL,NULL,NULL
AWSGS,NB,New Brunswick ,NULL,NULL,NULL,NULL
AWSGS,NS,Nova Scotia,NULL,NULL,NULL,NULL
AWSGS,ON,Ontario,NULL,NULL,NULL,NULL
AWSGS,PE,Prince Edward Island ,NULL,NULL,NULL,NULL
AWSGS,PQ,Quebec,NULL,NULL,NULL,NULL
BAGO,SLE,St. Lawrence Estuary and Gulf,NULL,NULL,NULL,NULL
BBS,AB,Alberta,AB,BBS50-CAN,NULL,NULL
BBS,BC,British Columbia,BC,BBS50-CAN,NULL,NULL
BBS,BCR_10,BCR_10,NULL,BBS,NULL,NULL
BBS,BCR_11,BCR_11,NULL,BBS,NULL,NULL
BBS,BCR_12,BCR_12,NULL,BBS,NULL,NULL
BBS,BCR_13,BCR_13,NULL,BBS,NULL,NULL
BBS,BCR_14,BCR_14,NULL,BBS,NULL,NULL
BBS,BCR_4,BCR_4,NULL,BBS,NULL,NULL
BBS,BCR_5,BCR_5,NULL,BBS,NULL,NULL
BBS,BCR_6,BCR_6,NULL,BBS,NULL,NULL
BBS,BCR_7,BCR_7,NULL,BBS,NULL,NULL
BBS,BCR_8,BCR_8,NULL,BBS,NULL,NULL
BBS,BCR_9,BCR_9,NULL,BBS,NULL,NULL
BBS,CA-AB-10,CA-AB-10,NULL,BBS,NULL,NULL
BBS,CA-AB-11,CA-AB-11,NULL,BBS,NULL,NULL
BBS,CA-AB-6,CA-AB-6,NULL,BBS,NULL,NULL
BBS,CA-BC-10,CA-BC-10,NULL,BBS,NULL,NULL
BBS,CA-BC-4,CA-BC-4,NULL,BBS,NULL,NULL
BBS,CA-BC-5,CA-BC-5,NULL,BBS,NULL,NULL
BBS,CA-BC-6,CA-BC-6,NULL,BBS,NULL,NULL
BBS,CA-BC-9,CA-BC-9,NULL,BBS,NULL,NULL
BBS,CA-BCR7-7,CA-BCR7-7,NULL,BBS,NULL,NULL
BBS,CA-MB-11,CA-MB-11,NULL,BBS,NULL,NULL
BBS,CA-MB-12,CA-MB-12,NULL,BBS,NULL,NULL
BBS,CA-MB-6,CA-MB-6,NULL,BBS,NULL,NULL
BBS,CA-MB-8,CA-MB-8,NULL,BBS,NULL,NULL
BBS,Canada,Canada,NULL,BBS,NULL,NULL
BBS,Canada-BCR_10,Canada-BCR_10,NULL,BBS,NULL,NULL
BBS,Canada-BCR_11,Canada-BCR_11,NULL,BBS,NULL,NULL
BBS,Canada-BCR_12,Canada-BCR_12,NULL,BBS,NULL,NULL
BBS,Canada-BCR_13,Canada-BCR_13,NULL,BBS,NULL,NULL
BBS,Canada-BCR_14,Canada-BCR_14,NULL,BBS,NULL,NULL
BBS,Canada-BCR_4,Canada-BCR_4,NULL,BBS,NULL,NULL
BBS,Canada-BCR_5,Canada-BCR_5,NULL,BBS,NULL,NULL
BBS,Canada-BCR_6,Canada-BCR_6,NULL,BBS,NULL,NULL
BBS,Canada-BCR_7,Canada-BCR_7,NULL,BBS,NULL,NULL
